sa2_name_2016,Walkability Index,No Vehicle,Jobless Family,Overweight,Obesity,Mental Issue
Abbotsford,1.85442536431,16.7028199566,5.29953917051,33.5596657913,15.668904599,10.5881378709
Albert Park,1.6937984581,14.4229203972,5.60190703218,34.9799413597,13.7230607572,8.20273098822
Alphington - Fairfield,-1.69176034787,11.3242009132,3.24207492795,34.3573724907,20.1217277386,10.7562174007
Armadale,-1.60757399193,14.9003147954,5.35390199637,34.6867829271,13.9542906267,10.2893418552
Ascot Vale,-1.22096748605,15.1153991676,15.8723021583,34.0975741805,25.8112999869,11.2054634369
Brunswick,0.14448226636,21.5806451613,7.97494780793,32.4869804038,18.5697782185,9.81392225171
Brunswick East,-0.722364525054,18.4049079755,6.49895178197,32.4869804038,18.5697782185,9.81392225171
Brunswick West,-1.64496814956,18.4253100845,11.7040630685,34.9586327694,23.6208159838,10.7556089634
Carlton,4.73614852238,57.8492935636,28.6214953271,31.6719403966,14.1635906599,16.1992933368
Carlton North - Princes Hill,-0.142312864521,19.5546674279,6.84769775679,33.9483670589,14.6394273867,9.70382429609
Coburg,-1.3102100436,13.8517218688,11.0687991876,34.1016550849,26.0710157397,12.1136171087
Collingwood,2.4985109714,29.3410993811,39.1184573003,31.3000227586,15.4216624482,12.5000508737
East Melbourne,3.0889539602,20.310421286,6.91244239631,34.3488425384,13.8654374887,8.20583481862
Elwood,-0.706121725748,13.0075298981,5.51228280407,33.10896307,14.2091079105,10.9526225294
Essendon - Aberfeldie,-2.44630454682,11.0058152057,4.07960199005,35.9333139256,21.5905500148,10.4830203241
Fitzroy,2.66223163867,28.4740429995,36.4285714286,31.3000227586,15.4216624482,12.5000508737
Fitzroy North,0.548223197592,20.0250312891,7.60318609703,33.9483670589,14.6394273867,9.70382429609
Flemington,0.517616407377,26.9849643893,28.5509325681,32.6129149693,17.4030453938,14.0795550007
Melbourne,9.84831322226,68.4514721919,17.4157303371,30.3968125706,11.7713535762,13.878131945
Moonee Ponds,-1.04722353882,14.5243971901,4.48598130841,35.9333139256,21.5905500148,10.4830203241
North Melbourne,3.5927925244,31.592039801,23.0825958702,31.5075278178,14.4589504454,13.0093137737
Northcote,-0.723579216079,16.1831218974,6.37883008357,34.3573724907,20.1217277386,10.7562174007
Parkville,4.25369368543,22.1506761108,16.875,35.4505426124,16.0853079867,9.30106229312
Pascoe Vale South,-2.15367095149,8.37773830669,6.81213411389,34.9586327694,23.6208159838,10.7556089634
Port Melbourne,1.61769862719,12.031799419,10.0602409639,33.8373714199,16.734002545,8.72526356781
Prahran - Windsor,1.18562319545,22.3449131514,8.01987224982,32.7998322099,15.7117965106,11.0204509445
Richmond (Vic.),2.20636691498,21.8516236909,16.7782591571,33.6012858439,15.9880701592,11.3986211947
South Melbourne,1.747403111,21.4089031666,14.6627565982,33.3746959452,15.7857734906,12.0725973549
South Yarra - East,5.0057459303,25.4926981426,15.5645981689,32.7998322099,15.7117965106,11.0204509445
South Yarra - West,2.52859839741,20.0804681785,3.50404312668,34.3488425384,13.8654374887,8.20583481862
Southbank,9.65381632292,26.9493844049,10.5855855856,33.8531573433,12.2466391323,11.138278843
St Kilda,1.21968821752,25.6121045392,9.03832248735,34.0736661014,16.7278633531,11.0569394527
St Kilda East,1.42933951278,20.0680735194,6.53442240373,34.0736661014,16.7278633531,11.0569394527
Thornbury,-2.00486221414,16.6221347209,8.30055074744,33.9353025639,25.0282337811,12.6503862185
Toorak,-2.14450924402,10.4793147439,8.15047021944,34.6867829271,13.9542906267,10.2893418552
Yarra - North,-0.288514619478,10.3102475713,5.23465703971,33.5596657913,15.668904599,10.5881378709
